TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
42,0.2150000000000001,182.59465387540718,-2522.1076400425836,-2339.5129861671767,-5904.91632912466,0.2434595385005429,0.02652843879638038
43,0.2200000000000001,183.64944627706248,-2523.1615581177657,-2339.5121118407033,-5925.394881540174,0.24486592836941662,0.026892233980681052
44,0.22500000000000012,184.52150601080433,-2524.0330357599087,-2339.5115297491043,-5942.544792521545,0.24602867468107242,0.027244495487728695
45,0.23000000000000012,185.2183424090422,-2524.7295253184857,-2339.5111829094435,-5956.427380162027,0.24695778987872294,0.027585733669284813
46,0.23500000000000013,185.74559084519467,-2525.256498306104,-2339.510907460909,-5967.134524887299,0.24766078779359288,0.027916364020482705
47,0.24000000000000013,186.10911549576542,-2525.6196276895025,-2339.510512193737,-5974.780478743942,0.2481454873276872,0.028236709000293722
48,0.24500000000000013,186.31778305510167,-2525.827572614467,-2339.5097895593653,-5979.563064253892,0.24842371074013556,0.02854699901171096
49,0.2500000000000001,186.38626937705618,-2525.8948479078817,-2339.5085785308256,-5981.788930879301,0.2485150258360749,0.02884737506937401
50,0.2550000000000001,374.29045082589533,-2525.183229663512,-2150.892778837617,-5969.891916640827,0.4990539344345271,0.029280381491145167
51,0.2600000000000001,372.1881919150537,-2523.076530656975,-2150.8883387419214,-5931.922146288429,0.49625092255340497,0.02974087921923113
52,0.2650000000000001,368.7864588190323,-2519.6678953888963,-2150.881436569864,-5869.634270250715,0.4917152784253764,0.0302277080438023
53,0.27000000000000013,364.2249856775668,-2515.0972101978355,-2150.872224520269,-5785.570823747226,0.4856333142367557,0.030738975631430028
54,0.27500000000000013,358.6857869870869,-2509.5470289227414,-2150.8612419356546,-5682.989937420704,0.4782477159827825,0.03127213850330872
55,0.28000000000000014,352.3842096485689,-2503.2333483768443,-2150.8491387282756,-5565.697182764293,0.46984561286475857,0.031824108622572414
56,0.28500000000000014,345.5574334274576,-2496.393963021061,-2150.8365295936037,-5437.86393460435,0.4607432445699435,0.0323913797555677
57,0.29000000000000015,338.45301135756694,-2489.276963583312,-2150.823952225745,-5303.883929865035,0.4512706818100892,0.032970166123075934
58,0.29500000000000015,331.31800206469165,-2482.1300317368555,-2150.8120296721636,-5168.087626036022,0.4417573360862555,0.03355654643487586
59,0.30000000000000016,324.38688864174696,-2475.1884995099854,-2150.8016108682386,-5034.621235203073,0.4325158515223293,0.03414660796929662
60,0.30500000000000016,317.8672552751261,-2468.6607959839394,-2150.7935407088135,-4907.203670406194,0.4238230070335015,0.03473658394300802
61,0.31000000000000016,311.9262235353138,-2462.714490730006,-2150.7882671946923,-4788.90573906806,0.4159016313804184,0.03532297450592952
62,0.31500000000000017,306.68332766116043,-2457.4688190949414,-2150.785491433781,-4682.014898392809,0.40891110354821386,0.03590264139200215
63,0.3200000000000002,302.21351826386353,-2452.997946445373,-2150.7844281815096,-4588.07799415877,0.4029513576851514,0.03647287042491109
64,0.3250000000000002,298.55723782448945,-2449.341643990489,-2150.784406166,-4508.049782101575,0.39807631709931923,0.037031405750246174
65,0.3300000000000002,295.72954548210265,-2446.514888001579,-2150.785342519476,-4442.376258692349,0.3943060606428035,0.03757646442725541
66,0.3350000000000002,293.72228801914457,-2444.509943156127,-2150.7876551369827,-4391.080315250864,0.39162971735885943,0.03810673982576495
67,0.3400000000000002,292.4998158093555,-2443.2916563806675,-2150.791840571312,-4353.688335241235,0.389999754412474,0.03862139522642103
68,0.3450000000000002,291.9940168682124,-2442.792028424881,-2150.798011556669,-4329.1575319295725,0.3893253558242832,0.039120043151076936
69,0.3500000000000002,292.10435288212335,-2442.910077606903,-2150.80572472478,-4315.897576398739,0.3894724705094978,0.039602704500662174
70,0.3550000000000002,292.70513468749544,-2443.5193300428596,-2150.814195355364,-4311.929173575649,0.39027351291666057,0.04006974647476248
71,0.3600000000000002,293.65785585154003,-2444.480426306916,-2150.822570455376,-4315.035589260065,0.3915438078020534,0.04052180399962839
72,0.3650000000000002,294.8244551644965,-2445.65460715651,-2150.8301519920133,-4322.947336308137,0.393099273552662,0.04095969290224587
