TimeStep,Temperature,Density,TotalEnergy,Pressure,SpecificHeat,DiffusionCoefficient
650,0.5216443100171392,0.7,-1688.1850871052407,-0.8149567205484349,2.786526450973861,0.06936587533617775
700,0.5151806526670364,0.7,-1688.186996272236,-0.7986447690311528,1.7451446882709216,0.05660403458991218
750,0.5189497167895307,0.7,-1688.183493698842,-0.8214758310316675,2.337388646826053,0.06955412712035804
800,0.5257685704374997,0.7,-1688.1869865716924,-0.7536849337159528,1.8014851716010278,0.05602461737685634
850,0.5261241033898846,0.7,-1688.1890088638816,-0.7928662986662285,1.6006847029185285,0.04743950538060905
900,0.5296573731120712,0.7,-1688.20031631697,-0.6746997932522274,2.2193821063314543,0.040906471921413536
950,0.5327852199746577,0.7,-1688.1959521344315,-0.6489681767154881,4.049048566652833,0.04340206891060566
1000,0.5362415029109772,0.7,-1688.2072914506236,-0.5117517188401219,1.882589789006045,0.044374756247067305
1050,0.5443500546842052,0.7,-1688.2081691450146,-0.5094942051620083,1.9649737804164107,0.028169417258534675
1100,0.5564157441097907,0.7,-1688.201353140818,-0.539409917063033,1.6649670042681417,0.042003800025248846
1150,0.532972720974426,0.7,-1688.206188571715,-0.3881487512897029,1.7094382512620614,0.032645234185071786
1200,0.5553378366430077,0.7,-1688.2044654019198,-0.6723754734882452,1.8030187014230643,0.045560624092498656
1250,0.5527895015954836,0.7,-1688.1956701823513,-0.5651132271918045,2.114097922442466,0.04002383379608117
1300,0.5544361880852553,0.7,-1688.2003318254344,-0.5891732603943961,4.514408900096371,0.03355609887212884
1350,0.5440880128119434,0.7,-1688.195971593764,-0.570001176724996,2.14596596305401,0.02972817362426621
1400,0.5515918773949963,0.7,-1688.194997484376,-0.628451995321413,1.920170565193625,0.05199200875790056
1450,0.557224810992848,0.7,-1688.2244281957962,-0.484855747878664,1.9255362641462053,0.04937090287674914
1500,0.5642211790152748,0.7,-1688.2165991960733,-0.34222459768109176,1.9165967678821267,0.04972158580065192
1550,0.5797573572161904,0.7,-1688.2169986398428,-0.3815609725196852,1.5927838516582573,0.06273635469368663
1600,0.5772984590009884,0.7,-1688.2256111767576,-0.2755416171514728,2.1970140672186314,0.03762167644572417
