TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
17,0.09000000000000001,329.11981489353553,-2183.822742803672,-1854.7029279101366,-8612.121941306377,0.4388264198580474,0.011832830233213323
18,0.09500000000000001,319.27658106532834,-2173.972453229137,-1854.6958721638086,-8322.957744775973,0.4257021080871044,0.013099100019481441
19,0.10000000000000002,308.5716821794663,-2163.2542146018463,-1854.68253242238,-8019.469933541439,0.4114289095726217,0.014404526141591078
20,0.10500000000000002,297.27947945523476,-2151.943391417959,-1854.6639119627243,-7706.942820326475,0.3963726392736463,0.015741951803649543
21,0.11000000000000003,285.7479605470166,-2140.3901305147383,-1854.6421699677217,-7391.739548283023,0.38099728072935546,0.017103814661418047
22,0.11500000000000003,274.36501721173556,-2128.9851868635046,-1854.6201696517692,-7080.808187226909,0.36582002294898075,0.01848240374452631
23,0.12000000000000004,263.51528980515167,-2118.115952169041,-1854.6006623638893,-6780.985261121641,0.35135371974020224,0.019870145895866047
24,0.12500000000000003,253.5388390915546,-2108.1244042650505,-1854.585565173496,-6498.397045812397,0.3380517854554061,0.02125988582561954
25,0.13000000000000003,244.70191661340985,-2099.277549083237,-1854.575632469827,-6237.943895655842,0.3262692221512131,0.022645126966838423
26,0.13500000000000004,237.1843376590553,-2091.755010048155,-1854.5706723890996,-6003.1300657989095,0.31624578354540706,0.024020211093825006
27,0.14000000000000004,231.08136863126094,-2085.6513087601847,-1854.569940128924,-5796.058867163672,0.3081084915083479,0.025380429531630104
28,0.14500000000000005,226.414405773848,-2080.9869561311566,-1854.5725503573085,-5617.564613611545,0.30188587436513065,0.026722070415522353
29,0.15000000000000005,223.14459029616668,-2077.7223266565343,-1854.5777363603677,-5467.39241401892,0.2975261203948889,0.028042413945936664
30,0.15500000000000005,221.18563569485445,-2075.770514726552,-1854.5848790316975,-5344.380272197661,0.2949141809264726,0.02933968745793512
31,0.16000000000000006,220.4147382462995,-2075.0082240844167,-1854.5934858381172,-5246.657331313338,0.2938863176617326,0.03061299073009606
32,0.16500000000000006,220.68187098285776,-2075.2849750860996,-1854.6031041032418,-5171.793781864461,0.29424249464381036,0.03186219957827137
33,0.17000000000000007,221.8182515738767,-2076.4315341153297,-1854.613282541453,-5116.9670466061425,0.2957576687651689,0.03308785382124474
34,0.17500000000000007,223.64457409805257,-2078.2681543343456,-1854.623580236293,-5079.060563220854,0.2981927654640701,0.03429103525332265
35,0.18000000000000008,225.97905482979667,-2080.6125922609176,-1854.6335374311209,-5054.860254295049,0.30130540643972886,0.03547324096270039
36,0.18500000000000008,228.64510473708933,-2083.2878775791883,-1854.642772842099,-5041.149292098824,0.3048601396494524,0.03663625701167998
37,0.19000000000000009,231.47791985911292,-2086.1289448853036,-1854.6510250261906,-5034.880423604383,0.3086372264788172,0.03778203852224686
38,0.1950000000000001,234.32938851086695,-2088.9874948067736,-1854.6581062959067,-5033.234266926543,0.3124391846811559,0.038912599447502944
39,0.2000000000000001,237.07135372029637,-2091.7353043418216,-1854.6639506215251,-5033.705825707968,0.3160951382937285,0.04002991546870955
40,0.2050000000000001,239.5973674924444,-2094.265894245011,-1854.6685267525668,-5034.1531319755695,0.31946315665659253,0.04113584186061452
41,0.2100000000000001,241.82363799060013,-2096.4954357999627,-1854.6717978093625,-5032.825942809211,0.32243151732080017,0.042232046570868154
42,0.2150000000000001,243.6896830122107,-2098.3634210624705,-1854.6737380502598,-5028.362022404309,0.32491957734961424,0.04331995915930428
43,0.2200000000000001,245.15889603786883,-2099.8332039305587,-1854.67430789269,-5019.82914168401,0.3268785280504918,0.044400735254678615
44,0.22500000000000012,246.21896328298473,-2100.892467143944,-1854.6735038609593,-5006.713740154497,0.3282919510439796,0.04547523662184803
45,0.23000000000000012,246.88157939142778,-2101.5529900538495,-1854.6714106624217,-4988.9206526967955,0.32917543918857034,0.0465440275637757
46,0.23500000000000013,247.18095456592206,-2101.8491478785463,-1854.6681933126242,-4966.737399517256,0.32957460608789607,0.0476073876898287
47,0.24000000000000013,247.17083974929366,-2101.834958566296,-1854.6641188170022,-4940.813790411278,0.3295611196657248,0.04866534012064088
48,0.24500000000000013,246.92006364525778,-2101.5796006687838,-1854.659537023526,-4912.051911630104,0.32922675152701036,0.049717693132234876
49,0.2500000000000001,246.50667269921158,-2101.1615668455743,-1854.6548941463627,-4881.509725458546,0.3286755635989488,0.05076409184737903
50,0.2550000000000001,374.02802714581514,-2100.185030107986,-1726.1570029621712,-4836.2693199549785,0.49870403619442016,0.052060398388780856
51,0.2600000000000001,372.33008343982596,-2098.4823722213287,-1726.1522887815026,-4778.091706349336,0.4964401112531012,0.053375125360513496
52,0.2650000000000001,370.0042662879962,-2096.152051475154,-1726.147785187158,-4708.6133600121075,0.49333902171732824,0.054706941639773105
53,0.27000000000000013,367.15132800867434,-2093.2950600771724,-1726.1437320684981,-4629.573351146935,0.48953510401156575,0.05605411449912386
54,0.27500000000000013,363.87019037779385,-2090.0103932812717,-1726.140202903478,-4542.792815381068,0.48516025383705846,0.05741457345312187
55,0.28000000000000014,360.25612795196605,-2086.3931744131232,-1726.1370464611573,-4450.082971301611,0.48034150393595476,0.05878596872753138
56,0.28500000000000014,356.4016921909958,-2082.5356860656193,-1726.1339938746235,-4353.285066522558,0.47520225625466106,0.06016572346010085
57,0.29000000000000015,352.39947305710575,-2078.53020900141,-1726.1307359443044,-4254.241756662482,0.469865964076141,0.06155108205594073
58,0.29500000000000015,348.3455633112511,-2074.4724940602628,-1726.1269307490115,-4154.8652952735165,0.4644607510816682,0.06293915893513953
59,0.30000000000000016,344.3431264961755,-2070.4654532961276,-1726.1223267999521,-4057.0994720941353,0.4591241686615673,0.06432699360887177
60,0.30500000000000016,340.5045330302045,-2066.6214823836353,-1726.1169493534308,-3962.9852106325516,0.45400604404027267,0.06571161921474147
61,0.31000000000000016,336.94900934101923,-2063.0603685283545,-1726.1113591873352,-3874.613440987014,0.4492653457880256,0.06709015085735834
62,0.31500000000000017,333.7930831124926,-2059.8997059565386,-1726.106622844046,-3793.9585199842472,0.4450574441499901,0.06845989434911402
63,0.3200000000000002,331.13456360865905,-2057.2384749285566,-1726.1039113198976,-3722.685677354932,0.44151275147821206,0.0698184652810431
64,0.3250000000000002,329.0359531950973,-2055.1397991798194,-1726.103845984722,-3661.847821786363,0.4387146042601297,0.07116389705642005
65,0.3300000000000002,327.51537302948947,-2053.6215914006366,-1726.1062183711472,-3611.8458240023315,0.4366871640393193,0.07249471184516368
66,0.3350000000000002,326.5493425118774,-2052.6595061416165,-1726.110163629739,-3572.418657116363,0.4353991233491698,0.07380993829710131
67,0.3400000000000002,326.0845155354102,-2052.1992905522634,-1726.1147750168532,-3542.8314838333913,0.4347793540472136,0.0751090776538189
68,0.3450000000000002,326.051096682497,-2052.170564017529,-1726.1194673350321,-3522.0559600998085,0.43473479557666267,0.07639203465457917
69,0.3500000000000002,326.3720909523187,-2052.496163787817,-1726.1240728354983,-3508.9065676443124,0.4351627879364249,0.07765903586164898
70,0.3550000000000002,326.9678801744336,-2053.0963206986066,-1726.1284405241731,-3502.158047025445,0.4359571735659115,0.07891055065599711
71,0.3600000000000002,327.7595988378126,-2053.8919138252772,-1726.1323149874647,-3500.555833289525,0.43701279845041674,0.08014722076645281
72,0.3650000000000002,328.67368897784104,-2054.8090768699712,-1726.1353878921302,-3502.88487142343,0.43823158530378803,0.08136979895108616
73,0.3700000000000002,329.64684447774783,-2055.784297649997,-1726.137453172249,-3508.05087894552,0.43952912597033045,0.0825790973996086
74,0.3750000000000002,330.6295070715155,-2056.767974429941,-1726.1384673584257,-3515.144243575882,0.44083934276202064,0.08377594553438983
75,0.3800000000000002,331.5870767598913,-2057.7255939263055,-1726.1385171664142,-3523.472373191068,0.44211610234652177,0.08496115975992967
76,0.38500000000000023,332.49936783609763,-2058.637091685288,-1726.1377238491903,-3532.517286750235,0.44333249044813017,0.08613552460783187
77,0.39000000000000024,333.359097216955,-2059.4953632451334,-1726.1362660281784,-3541.963383001292,0.4444787962892733,0.08729978591583541
78,0.39500000000000024,334.16908678933993,-2060.3035889421562,-1726.1345021528164,-3551.598725867854,0.44555878238578656,0.08845465576956099
79,0.40000000000000024,334.9373875956317,-2061.070311254286,-1726.1329236586544,-3561.3214231524385,0.4465831834608423,0.08960082834384088
80,0.40500000000000025,335.67047164691996,-2061.8025257128356,-1726.1320540659158,-3570.973162334846,0.44756062886255993,0.09073900207948443
81,0.41000000000000025,336.3657676553228,-2062.4981243674147,-1726.132356712092,-3580.291600606827,0.4484876902070971,0.09186990147652074
82,0.41500000000000026,337.00569512929667,-2063.139682682113,-1726.133987552816,-3588.813584271657,0.4493409268390622,0.09299428909111389
83,0.42000000000000026,337.5555912133004,-2063.69235771334,-1726.1367665000394,-3595.8431889405047,0.4500741216177338,0.09411295961607809
84,0.42500000000000027,337.96659515372426,-2064.1068131640923,-1726.140218010368,-3600.541234044197,0.4506221268716323,0.09522671227042534
85,0.43000000000000027,338.182685267021,-2064.3264105190387,-1726.1437252520177,-3602.0036690374477,0.45091024702269467,0.09633630411453664
86,0.4350000000000003,338.14952562159226,-2064.2963014520797,-1726.1467758304875,-3599.41648212815,0.450866034162123,0.09744239192349914
87,0.4400000000000003,337.8223669165473,-2063.9714117032418,-1726.1490447866945,-3592.0959432294458,0.45042982255539643,0.09854547232776348
88,0.4450000000000003,337.1713507142137,-2063.3217318493403,-1726.1503811351265,-3579.6377321956948,0.4495618009522849,0.09964582938984815
89,0.4500000000000003,336.18438523877785,-2062.3350548014505,-1726.1506695626726,-3561.946280841018,0.4482458469850371,0.10074349461031405
90,0.4550000000000003,334.8698468706189,-2061.019405611051,-1726.149558740432,-3539.2825724405884,0.44649312916082523,0.10183822094688105
91,0.4600000000000003,333.26159085339754,-2059.408065995868,-1726.1464751424705,-3512.3103128385164,0.44434878780453,0.10292947239874858
92,0.4650000000000003,331.4267085715914,-2057.567468979333,-1726.1407604077417,-3482.190813531469,0.4419022780954552,0.10401643168639334
93,0.4700000000000003,329.4734851593982,-2055.605543204467,-1726.1320580450686,-3450.6805785548772,0.4392979802125309,0.10509803113298898
94,0.4750000000000003,327.55401280773077,-2053.6748274827796,-1726.120814675049,-3420.1317525525724,0.436738683743641,0.10617301536539929
95,0.4800000000000003,325.85485845697787,-2051.963468130365,-1726.1086096733873,-3393.3214238829087,0.4344731446093038,0.10724004010472553
96,0.4850000000000003,324.57164581505634,-2050.669694924144,-1726.0980491090877,-3373.124729207236,0.43276219442007513,0.10829780403777352
97,0.4900000000000003,323.87008225490786,-2049.962084779368,-1726.0920025244602,-3361.953243588283,0.43182677633987715,0.10934519812468566
98,0.49500000000000033,323.84441004836987,-2049.936894973512,-1726.0924849251423,-3361.117521696869,0.4317925467311598,0.11038144407459335
99,0.5000000000000003,324.48855920463694,-2050.5883944457105,-1726.0998352410736,-3370.44740251614,0.43265141227284926,0.11140619016952673
100,0.5050000000000003,376.11267959562326,-2051.714413329608,-1675.6017337339845,-3386.4660007235643,0.5014835727941643,0.11250103928606972
101,0.5100000000000003,377.26407896744604,-2052.881269337997,-1675.6171903705508,-3402.30228848679,0.5030187719565947,0.11359502735648982
102,0.5150000000000003,378.2199403086423,-2053.8520061336726,-1675.6320658250302,-3414.474858729981,0.5042932537448565,0.11468867639643845
103,0.5200000000000004,378.75484587500426,-2054.398915967614,-1675.6440700926096,-3419.665141772779,0.5050064611666724,0.11578246061048375
104,0.5250000000000004,378.6877797561791,-2054.339387630851,-1675.6516078746718,-3415.183683962958,0.5049170396749055,0.1168766647388776
105,0.5300000000000004,377.90759660083233,-2053.561411595549,-1675.6538149947169,-3399.363643942355,0.5038767954677764,0.11797126110895338
106,0.5350000000000004,376.3865893979979,-2052.0372556511043,-1675.6506662531065,-3371.8501222052764,0.5018487858639972,0.11906582248948756
107,0.5400000000000004,374.18167557708074,-2049.824553182484,-1675.6428776054033,-3333.5361801199606,0.49890890076944094,0.12015948311381353
108,0.5450000000000004,371.42331619614953,-2047.0551969265698,-1675.6318807304203,-3286.436478985045,0.4952310882615327,0.12125095399371306
109,0.5500000000000004,368.2942081339485,-2043.9136749499276,-1675.6194668159792,-3233.389556408227,0.4910589441785979,0.12233858948335437
110,0.5550000000000004,365.0019371712753,-2040.609420067695,-1675.6074828964197,-3177.650975241157,0.4866692495617004,0.12342049534192111
111,0.5600000000000004,361.7513370121303,-2037.348632858636,-1675.5972958465056,-3122.4636648156547,0.48233511601617374,0.12449466035631729
112,0.5650000000000004,358.7230861656565,-2034.3126114692634,-1675.589525303607,-3070.7460962380733,0.4782974482208754,0.12555909221347988
113,0.5700000000000004,356.0632406635176,-2031.6472240735068,-1675.5839834099893,-3024.911266850911,0.4747509875513568,0.126611939056402
114,0.5750000000000004,353.88349847424456,-2029.4636570581135,-1675.580158583869,-2986.8714507233985,0.47184466463232605,0.12765158539832402
115,0.5800000000000004,352.26605614452654,-2027.8439659792778,-1675.5779098347512,-2958.017639393305,0.4696880748593687,0.12867671950040788
116,0.5850000000000004,351.2640663719526,-2026.8419373245397,-1675.577870952587,-2939.3218937590127,0.46835208849593674,0.12968637434765687
117,0.5900000000000004,350.89245974884756,-2026.473665394724,-1675.5812056458765,-2931.1241925069785,0.4678566129984634,0.13067994266348323
118,0.5950000000000004,351.1133922324443,-2026.7019698451732,-1675.5885776127288,-2932.933544006264,0.468151189643259,0.1316571607093395
119,0.6000000000000004,351.8290952958173,-2027.4283525471658,-1675.5992572513485,-2943.3649177500597,0.4691054603944231,0.1326180518977019
120,0.6050000000000004,352.8942015393461,-2028.505147821419,-1675.610946282073,-2960.3203451051813,0.47052560205246147,0.133562827121065
121,0.6100000000000004,354.1493824829151,-2029.769894288783,-1675.6205118058679,-2981.5152850986938,0.4721991766438867,0.13449175567578778
122,0.6150000000000004,355.46602622408517,-2031.091215610908,-1675.6251893868227,-3005.030984610147,0.47395470163211356,0.135405045008329
123,0.6200000000000004,356.78468859720186,-2032.4084850476015,-1675.6237964503996,-3029.8694160871146,0.4757129181296025,0.13630278055832953
124,0.6250000000000004,358.1298138963485,-2033.747430260475,-1675.6176163641267,-3056.1975144562725,0.47750641852846465,0.13718497511645875
125,0.6300000000000004,359.5893443897039,-2035.1996082427856,-1675.6102638530817,-3085.017245114551,0.4794524591862719,0.13805174286456393
126,0.6350000000000005,361.2631693262215,-2036.869109963933,-1675.6059406377115,-3117.5163631970713,0.4816842257682953,0.1389035546147701
127,0.6400000000000005,363.20430593131255,-2038.8113987110328,-1675.6070927797202,-3154.2414984408315,0.4842724079084167,0.1397414726626328
128,0.6450000000000005,365.3848651094838,-2040.9979550269527,-1675.6130899174689,-3194.595349612943,0.4871798201459784,0.14056725288588814
129,0.6500000000000005,367.7035425673886,-2043.3247141395027,-1675.6211715721142,-3236.9113883116383,0.49027139008985143,0.14138325909573385
130,0.6550000000000005,370.0231863348933,-2045.6517070065925,-1675.628520671699,-3279.0491362620587,0.4933642484465244,0.1421922273756817
131,0.6600000000000005,372.212046079005,-2047.8455615129374,-1675.6335154339324,-3318.958989049243,0.49628272810533997,0.14299697649765977
132,0.6650000000000005,374.16997593538,-2049.805829576628,-1675.635853641248,-3355.0628557082855,0.49889330124717335,0.14380015483543376
133,0.6700000000000005,375.83648578487583,-2051.472472015694,-1675.6359862308184,-3386.352027656639,0.5011153143798345,0.1446040705720223
134,0.6750000000000005,377.18694686345935,-2052.8214918552153,-1675.634544991756,-3412.3833262809976,0.5029159291512791,0.1454106081428442
135,0.6800000000000005,378.2244713046087,-2053.85657858608,-1675.6321072814715,-3433.137557631735,0.5042992950728116,0.1462212118002001
136,0.6850000000000005,378.9716240398701,-2054.600781519028,-1675.6291574791576,-3448.927619893546,0.5052954987198268,0.1470369116692045
137,0.6900000000000005,379.4629886265758,-2055.0890632049745,-1675.6260745783989,-3460.29573616104,0.5059506515021011,0.14785837216436065
138,0.6950000000000005,379.7386832776297,-2055.3618733608578,-1675.623190083228,-3467.8858227590736,0.5063182443701729,0.14868594802896484
139,0.7000000000000005,379.839030485815,-2055.4596860078664,-1675.6206555220515,-3472.3760466494828,0.5064520406477533,0.14951973895912082
140,0.7050000000000005,379.80135474656583,-2055.41979292628,-1675.6184381797143,-3474.418410563026,0.5064018063287544,0.15035963738710154
141,0.7100000000000005,379.66002737483853,-2055.276306303192,-1675.6162789283535,-3474.627505472281,0.506213369833118,0.1512053670894401
142,0.7150000000000005,379.44988682892085,-2055.063625989137,-1675.6137391602163,-3473.5567925016353,0.5059331824385611,0.15205651578995022
143,0.7200000000000005,379.2119309515167,-2054.8223085559375,-1675.6103776044208,-3471.865942834868,0.5056159079353556,0.15291256747044912
144,0.7250000000000005,378.99921285348273,-2054.6051293017313,-1675.6059164482485,-3470.3594156325717,0.5053322838046437,0.1537729445052437
145,0.7300000000000005,378.8796498255214,-2054.480274816702,-1675.6006249911807,-3469.983616124258,0.5051728664340286,0.15463706865548302
146,0.7350000000000005,378.93042632936664,-2054.526132409386,-1675.5957060800192,-3471.766596414545,0.5052405684391554,0.15550444693401463
147,0.7400000000000005,379.21992747180894,-2054.813047916928,-1675.5931204451192,-3476.5858629160743,0.505626569962412,0.15637477920120038
148,0.7450000000000006,379.78001112360124,-2055.374802556523,-1675.5947914329215,-3484.7721785773006,0.5063733481648016,0.1572480691879109
149,0.7500000000000006,380.5800886455897,-2056.1815689947034,-1675.6014803491137,-3495.788598089912,0.5074401181941196,0.1581247059888226
150,0.7550000000000006,381.5179058330727,-2057.130032223349,-1675.6121263902764,-3508.03193076308,0.5086905411107635,0.15900548024001268
151,0.7600000000000006,382.43639181915546,-2058.0603288999114,-1675.623937080756,-3519.159249402473,0.5099151890922072,0.15989151279285635
152,0.7650000000000006,383.164397908444,-2058.79772907716,-1675.633331168716,-3526.605941802421,0.5108858638779253,0.1607841014509773
153,0.7700000000000006,383.56778879127216,-2059.2051302443633,-1675.6373414530913,-3528.3700612830025,0.5114237183883629,0.1616845187258142
154,0.7750000000000006,383.5900636162975,-2059.2252885396047,-1675.635224923307,-3523.53540678588,0.5114534181550633,0.16259381268328435
155,0.7800000000000006,383.26106340331995,-2058.8902716316725,-1675.6292082283526,-3512.4301925158184,0.5110147512044266,0.16351266132306327
156,0.7850000000000006,382.66520470528303,-2058.288495828937,-1675.6232911236539,-3496.175760175284,0.5102202729403773,0.16444130647688887
